,node,SNR
,len,mean
node,,
1,11479,43.64903338269509
11,22255,31.388745048527888
21,11051,24.801441021626378
31,17617,27.68575969063974
41,10860,37.4061560681364
51,21677,29.979034919500844
61,21149,40.090039294050364
71,14082,32.41142470245326
81,19943,30.3752722559274
,node,SNR
,len,mean
node,,
1,11479,43.64903338269509
11,22255,31.388745048527888
21,11051,24.801441021626378
31,17617,27.68575969063974
41,10860,37.4061560681364
51,21677,29.979034919500844
61,21149,40.090039294050364
71,14082,32.41142470245326
81,19943,30.3752722559274
